eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5
0.0005,0.1007280589812097,2388371,6222.82178930782,0.620714875,664659,69192,6116,633,63,6,0.110787839434906,-0.007247749543116091,-0.001985929742702949,-0.0006336005101036139,-0.000117673700143955,-7.482695762966891e-05,0.0244482557308408,0.002131333629153023,0.0001179001852611854,7.910590117476795e-06,4.647467784250841e-07,2.07709878411567e-08
0.0005,0.1007916507392771,2426372,17544.54865081984,0.6140455,674220,70675,6247,601,61,7,0.1106434618238592,-0.007480650884375819,-0.001846002821562561,-0.000322239436824735,-6.732186222609476e-05,-0.000135596079592877,0.02448484187036278,0.002155396436834827,0.0001088614343890138,7.379788104531705e-06,3.99017991891095e-07,5.85614724385826e-08
0.0005,0.1007428884978451,2358172,14271.84191880454,0.657675625,666316,69746,6165,620,55,6,0.110608569451006,-0.007103957092907231,-0.002310673951909969,-0.0003832746332125335,-0.0001823256162202813,0.0001145503410890731,0.02447489086403574,0.002144322373895307,0.0001172747244012071,6.320365533589583e-06,1.662805612031473e-07,4.763759352320669e-08
0.0005,0.1004347991742759,2383301,3783.696896206864,0.580255291,670725,70776,6256,601,59,6,0.1105419710584041,-0.007721014078342446,-0.001825729237112124,-0.0005667334770931136,-7.521523015431374e-05,8.152013857379407e-05,0.02436452623674084,0.00216865079680851,0.0001150595793039238,6.972529347480995e-06,4.996446684145597e-07,1.262949910614056e-08
0.0005,0.1009728045805807,2392236,1046.114474154029,0.581561208,659740,69082,6107,645,64,6,0.1106599012337215,-0.007205281993121706,-0.001900691378736558,-0.0004800662577473314,-0.0002037179459351234,0.0001026609223999058,0.02452156925533272,0.00215147084204702,0.0001223176603676717,7.969757965294324e-06,3.982555728947479e-07,3.491797091224163e-09
0.0005,0.100527433137344,2415627,5418.147495923587,0.590541375,712491,69596,6152,598,61,6,0.110712110950827,-0.007804900603127937,-0.001695652320555526,-0.0005703689760099284,-4.261786610937855e-05,-7.113804768027245e-05,0.0245220224985823,0.002147443242584295,0.0001107789512072408,7.284512562156769e-06,4.372080676130468e-07,1.808508737190441e-08
0.0005,0.1009055462920499,2325796,5504.553671752837,0.570284875,662724,69772,6168,595,51,6,0.1108603248736882,-0.007463404388296104,-0.002024511019410648,-0.0003802491183593343,-1.145485783529635e-05,-7.515919773692361e-05,0.02457215327552762,0.002181106723797298,0.0001099785454526122,5.490056095495647e-06,3.952835901184864e-07,1.837350019944737e-08
0.0005,0.09978596236809198,2286399,8600.666372423801,0.565450583,657767,69163,6114,648,54,4,0.1106477016320518,-0.00789550848349984,-0.002040137593216401,-0.000596245352373409,-0.0001858959379417902,-0.0001439518969284237,0.02453745309670723,0.002169535292748298,0.0001174822041487817,5.967861368330482e-06,2.262848660890714e-07,2.870793069382293e-08
0.0005,0.1002747909368283,2251067,2873.176225451927,0.569750875,638307,67627,5978,642,56,4,0.1103004515412667,-0.007546917039276812,-0.001869502049142246,-0.0005828583475196438,-4.480043670253568e-05,1.84172682028787e-05,0.02429756958080022,0.002180633195194413,0.0001221130170844686,6.485813383306068e-06,1.736202785974926e-07,9.590296888608264e-09
0.0005,0.1005089639517112,2312201,10503.56108311132,0.570012333,657889,68869,6088,610,58,5,0.1107223399628247,-0.007446435575701607,-0.001873447361961236,-0.0006344658738780432,-0.0001938626423487172,-6.516455722385084e-05,0.02446677777547257,0.002144867927099611,0.0001100515119314007,6.809477194889461e-06,3.288547823617575e-07,3.505955126676052e-08
0.001,0.101241622777569,530409,751.7401486768996,0.131298667,166681,16210,1433,166,14,nan,0.1111633296102401,-0.006911099705525034,-0.002218439910147814,-0.000633556786824051,-0.0001586104301742326,nan,0.02476082109756368,0.002146435274658427,0.0001272152272567822,6.215871452781457e-06,8.029696097809225e-08,nan
0.001,0.1004787853877225,538858,6384.610801423071,0.136433375,161666,16821,1487,152,17,nan,0.1111462939280139,-0.007667432739681241,-0.001872310358634678,-0.000762609717159577,-0.0003651557248158453,nan,0.02472480705035529,0.002152115266616694,0.0001110687836752949,8.469216605881641e-06,6.819708183532441e-07,nan
0.001,0.1000925468782549,535066,1596.507109072904,0.129550542,195146,16114,1425,138,12,nan,0.1102579688327459,-0.007612638873066121,-0.002024722281477364,-0.0005871841170676694,5.912331712019305e-05,nan,0.02441107920516638,0.002206104907683557,0.0001025322245817233,4.676499672340538e-06,1.70530560678584e-07,nan
